Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
62635,TJ MAXX # 1435,8661 COLESVILLE RD,,SILVER SPRING,20910,06/05/2024,No Critical Violations Noted,Pre-Opening - Environmental,MARSHALLS OF MA INC,Market,Food,38.9969,-77.0261,POINT (-77.0261 38.9969)
60518,MOBY DICK BURTONSVILLE,15783 OLD COLUBMIA PIKE,,BURTONSVILLE,20866,06/05/2024,No Critical Violations Noted,Pre-Opening - Environmental,MOBY DICK BUTOSVILLE LLC,Restaurant,Food,39.1153,-76.9315,POINT (-76.9315 39.1153)
18504,SUBWAY #22123,19710-B FISHER AVE.,,POOLESVILLE,20837,06/04/2024,No Critical Violations Noted,Pre-Opening - Environmental,"RUDIYA, LLC.",Market,Food,39.1443,-77.4125,POINT (-77.4125 39.1443)
53850,CHEZ DURAN DURAN CAFE,13920 BETHPAGE LANE,,SILVER SPRING,20906,06/03/2024,No Critical Violations Noted,Pre-Opening - Environmental,JENNIFER DURAN/ BPRA SNACK BAR,Seasonal,Food,39.086,-77.0589,POINT (-77.0589 39.086)
17323,BETHESDA C.C. POOL SNACK BAR,7601 BRADLEY BLVD.,,BETHESDA,20817,05/31/2024,No Critical Violations Noted,Pre-Opening - Environmental,BETHESDA COUNTRY CLUB,Snack Bar,Food,39.0131,-77.1527,POINT (-77.1527 39.0131)
500,CHEVY CHASE CLUB,6100 CONNECTICUT AVE,,CHEVY CHASE,20815,05/30/2024,No Critical Violations Noted,Pre-Opening - Environmental,"CHEVY CHASE CLUB, INC.",Restaurant,Food,38.9757,-77.0781,POINT (-77.0781 38.9757)
61613,AUTHENTIC AFRICAN RESTAURANT,13075 WISTERIA DR,,GERMANTOWN,20874,05/29/2024,No Critical Violations Noted,Pre-Opening - Environmental,COMFORT OFORIWAA YIRENKYI,Market,Food,39.1785,-77.2717,POINT (-77.2717 39.1785)
55108,OKAERI JAPANESE CAFE,1701 ROCKVILLE PIKE,STE B1,ROCKVILLE,20852,05/28/2024,No Critical Violations Noted,Pre-Opening - Environmental,OKAERI ROCKVILLE LLC,Restaurant,Food,39.0613,-77.1247,POINT (-77.1247 39.0613)
18556,MOHICAN POOL SNACK BAR,7117 MACARTHUR BLVD.,,BETHESDA,20816,05/24/2024,No Critical Violations Noted,Pre-Opening - Environmental,MOHICAN POOL,Snack Bar,Food,38.96,-77.131,POINT (-77.131 38.96)
48236,THE BEACH TENNIS & POOL EASTGATE,10200 GAINSBOROUGH RD,,POTOMAC,20854,05/24/2024,No Critical Violations Noted,Pre-Opening - Environmental,TENNIS CENTRAL CORP,Market,Food,39.0229,-77.1689,POINT (-77.1689 39.0229)
